,participant_id,age,gender,hearing_problems,speech_problems,years_actively_using_music_tech,frequency_using_music_tech,years_actively_making_music,frequency_making_music,years_actively_singing,frequency_singing
106,4891936477413376,29,m,False,False,0.0,Less than once or twice a year,0.0,Less than once or twice a year,0.0,Never
107,4992918272081920,29,m,False,False,106.0,More than once or twice a week,55.0,More than once or twice a week,51.0,More than once or twice a week
108,5153955923361792,29,m,False,False,88.0,More than once or twice a week,25.0,Once or twice a month,12.0,Less than once or twice a year
109,5505046951231488,29,m,False,False,25.0,Once or twice a month,0.0,Never,0.0,Never
110,5679974795182080,29,m,False,False,15.0,More than once or twice a week,1.0,Less than once or twice a year,0.0,Never
111,5769848999116800,29,f,False,False,0.0,Never,0.0,Never,15.0,More than once or twice a week
112,5986572914655232,29,f,False,False,0.0,Never,0.0,Never,0.0,Never
113,6010307038150656,29,m,False,False,18.0,Once or twice a month,20.0,Once or twice a month,3.0,More than once or twice a week
114,6030051673899008,29,m,False,False,15.0,More than once or twice a week,15.0,More than once or twice a week,10.0,More than once or twice a week
115,6554664749236224,29,f,False,False,1.0,Less than once or twice a year,0.0,Never,0.0,Never
116,6594141404266496,29,f,False,False,0.0,Never,0.0,Never,0.0,Never
117,4580495648096256,30,m,False,False,0.0,Less than once or twice a year,0.0,Once or twice a year,5.0,Once or twice a week
118,4650253433176064,30,m,False,False,29.0,Once or twice a month,25.0,Once or twice a year,0.0,Never
119,4881363073236992,30,f,True,True,15.0,Once or twice a month,72.0,Less than once or twice a year,0.0,Never
120,5031290046775296,30,m,False,False,10.0,More than once or twice a week,10.0,More than once or twice a week,15.0,More than once or twice a week
121,5198952014020608,30,m,False,False,0.0,Never,0.0,Never,0.0,Never
122,5269513629073408,30,m,False,False,1.0,Less than once or twice a year,0.0,Never,0.0,Never
123,5674976526991360,30,f,False,False,1.0,Never,1.0,Less than once or twice a year,0.0,Never
124,5751270849642496,30,m,False,False,0.0,Less than once or twice a year,0.0,Never,30.0,Once or twice a week
125,5756292874371072,30,m,False,False,0.0,Never,2.0,Never,0.0,Never
126,5762244625301504,30,m,False,False,0.0,Never,0.0,Never,0.0,Never
127,6138819304751104,30,f,False,False,0.0,Never,0.0,Never,20.0,More than once or twice a week
128,6142665984835584,30,m,False,False,2.0,Once or twice a year,7.0,Once or twice a month,10.0,More than once or twice a week
129,6193671405830144,30,f,False,False,0.0,Never,0.0,Never,0.0,Never
130,6431590045450240,30,m,False,False,24.0,Less than once or twice a year,0.0,Never,15.0,Once or twice a month
131,4758777190416384,31,m,False,False,0.0,Once or twice a year,19.0,Once or twice a week,27.0,More than once or twice a week
132,4846628464754688,31,f,False,False,0.0,Never,88.0,Once or twice a week,34.0,More than once or twice a week
133,4856054307356672,31,m,False,False,0.0,Never,2.0,Once or twice a week,0.0,Never
134,5157903266742272,31,m,False,False,82.0,Once or twice a year,20.0,Once or twice a month,11.0,Once or twice a year
135,5198723978100736,31,f,False,False,70.0,Once or twice a month,0.0,Never,7.0,Once or twice a year
136,5293786636746752,31,m,False,False,0.0,Never,0.0,Never,0.0,Never
137,5424469204008960,31,m,False,False,80.0,Less than once or twice a year,0.0,Once or twice a year,24.0,Once or twice a month
138,5731197246242816,31,f,False,False,18.0,Once or twice a month,30.0,More than once or twice a week,66.0,More than once or twice a week
